rule,direction,selected,changed,rationale,module,family,probability_pass,gate,n_probability_disagreements,n_changed_vs_anchor,F_to_T,T_to_F,anchor_true_rate,current_residual_true_rate,reference_residual_true_rate,final_true_rate,route,extra
missing_planet_cryo_e_recall,FT,1.0,1.0,Missing-homeplanet cryo-zero E/S/TRAPPIST row recovered by physical consistency and HGB support.,,,current,,,,,,,,,,,
earth_fp_route_recall,FT,5.0,5.0,Earth/F/P/TRAPPIST mid-spend route recall: anchor was too conservative on HGB-supported border rows.,,,current,,,,,,,,,,,
earth_fs_side_spender_recall,FT,4.0,4.0,Earth/F/S/TRAPPIST side-S spender recall with moderate spend and positive HGB pressure.,,,current,,,,,,,,,,,
earth_gp_route_recall,FT,6.0,6.0,"Earth/G/P route recall for child/zero-spend, PSO, and mid-spend HGB/LGB-supported boundary rows.",,,current,,,,,,,,,,,
earth_gs_awake_route_recall,FT,11.0,11.0,"Earth/G/S route recall: children, older boundary passengers, PSO edge cases, and high-spend LGB-supported rows.",,,current,,,,,,,,,,,
earth_cryo_gs_zero_recall,FT,4.0,4.0,"CryoSleep=True with zero spend on Earth/G/S/TRAPPIST, only when HGB and vote support are strong.",,,current,,,,,,,,,,,
mars_fs_side_spender_recall,FT,2.0,2.0,Tiny Mars/F/S/TRAPPIST side-S spender leaf where the heterogeneous model signal supports recall.,,,current,,,,,,,,,,,
earth_gs_low_hgb_trappist_veto,TF,9.0,9.0,Anchor=True Earth/G/S/TRAPPIST awake spenders where HGB and LGB both form a hard-negative residual leaf.,,,current,,,,,,,,,,,
earth_gs_cancri_low_hgb_veto,TF,1.0,1.0,The same Earth/G/S low-HGB veto on the adjacent 55 Cancri route.,,,current,,,,,,,,,,,
earth_fs_low_hgb_veto,TF,2.0,2.0,Anchor=True Earth/F/S low-spend rows where HGB collapses despite the anchor saying True.,,,current,,,,,,,,,,,
earth_efp_mid_spend_veto,TF,7.0,7.0,Earth E/F P-side mid-spend residual veto: route/deck structure is weak and ensemble support is only borderline.,,,current,,,,,,,,,,,
earth_gp_route_conflict_veto,TF,3.0,3.0,Earth/G/P route-conflict veto for awake spenders with suspicious route-side behavior.,,,current,,,,,,,,,,,
earth_cryo_gp_zero_boundary_veto,TF,3.0,3.0,"Cryo-zero is usually positive, but this P-side boundary has weak LGB/HGB and split model evidence.",,,current,,,,,,,,,,,
europa_high_spend_veto,TF,6.0,6.0,Europa awake high-spend rows where high expenditure and route/deck split contradict a confident transported label.,,,current,,,,,,,,,,,
mars_spender_veto,TF,4.0,4.0,Mars awake spender residual veto in E/F deck routes where Cat disagrees with the HGB/LGB correction signal.,,,current,,,,,,,,,,,
__TOTAL__,MIXED,68.0,68.0,F_to_T=33; T_to_F=35; true_rate=0.547580,,,current,,,,,,,,,,,
,FT,22.0,22.0,"Mars cryo-zero E-deck TRAPPIST rows are recovered, excluding one weak P-side adult family tail.",mars_e_cryo_zero_pruned,structural_zero_spend_recall,current,,,,,,,,,,,
,FT,20.0,20.0,"Earth/G/TRAPPIST cryo-zero rows are recovered only within side, age, and family-consensus subleaves.",earth_g_cryo_zero_strict,structural_zero_spend_recall,current,,,,,,,,,,,
,FT,2.0,2.0,E-deck rows with HGB support and no anchor group support are treated as conservative false negatives.,deck_e_hgb_group0,heterogeneous_model_recall,current,,,,,,,,,,,
,FT,1.0,1.0,A small E/S leaf is recovered when LGB crosses the local residual threshold.,deck_e_side_s_lgb40,heterogeneous_model_recall,current,,,,,,,,,,,
,FT,4.0,4.0,Earth/G/S awake TRAPPIST spenders are recovered when HGB supports the positive class but Cat stays cautious.,earth_gs_spender_model,spender_boundary_recall,current,,,,,,,,,,,
,FT,31.0,31.0,"Depth-limited residual tree leaves based on cabin topology, spend, family support, and model disagreement.",distilled_primary_residual_leaves,shallow_tree_distillation,current,,,,,,,,,,,
cryo_gs_young_weak_family,,2.0,2.0,"Earth/G/S cryo-zero boundary with young age, no group support, weak surname support, and split model evidence.",,,current,,,,,,,,,,,
awake_gs_child_family_boundary,,1.0,1.0,Earth/G/S awake child zero-spend boundary where HGB/LGB are only borderline and Cat is negative.,,,current,,,,,,,,,,,
cryo_gs_adult_hgb_override,,2.0,2.0,Single adult Earth/G/S cryo-zero leaf where HGB is high but Cat stays negative and LGB is only weakly positive.,,,current,,,,,,,,,,,
gp_midspend_weak_family,,1.0,1.0,Earth/G/P awake mid-spend row with no group or surname support despite positive-looking tree probabilities.,,,current,,,,,,,,,,,
cryo_gp_large_surname_child,,1.0,1.0,"Earth/G/P cryo-zero child inside a large surname family, restricted to the weak-HGB boundary band.",,,current,,,,,,,,,,,
awake_gp_pso_large_group_zero,,1.0,1.0,Earth/G/P PSO zero-spend child in a large group; a narrow veto for route-family conflict.,,,current,,,,,,,,,,,
__TOTAL__,,8.0,8.0,ultra_strict_T_to_F=8; true_rate=0.564414,,,current,,,,,,,,,,,
,TF,41.0,41.0,"Awake spender rows are vetoed when HGB is weak, ET is high, and the positive signal is not robust.",weak_awake_spender_veto,spender_boundary_veto,current,,,,,,,,,,,
,FT,6.0,6.0,Residual E-deck spenders with low HGB but useful XGB/candidate/surname structure are recovered.,deck_e_low_hgb_spender_recall,spender_boundary_recall,current,,,,,,,,,,,
,FT,13.0,13.0,Side-S group-supported rows with weak anchor probability but meaningful LGB/XGB disagreement are recovered.,side_s_group_disagreement_recall,family_model_disagreement_recall,current,,,,,,,,,,,
,FT,8.0,8.0,Small-group spender rows with surname support and enough cabin/spend structure are recovered.,singleton_surname_spender_recall,family_model_disagreement_recall,current,,,,,,,,,,,
,FT,8.0,8.0,"Rows with moderate LGB/ET, controlled HGB, and limited spend channels are recovered as boundary positives.",mid_lgb_et_boundary_recall,heterogeneous_model_recall,current,,,,,,,,,,,
,FT,6.0,6.0,"Low-anchor, mid-spend residual leaf with one Mars/F/P tail pruned by route topology.",low_anchor_spend_leaf_a_pruned,shallow_tree_distillation,current,,,,,,,,,,,
,FT,6.0,6.0,Low-XGB spender residual leaf with Mars/E/P tail removed as an outlier route pocket.,low_xgb_spender_leaf_b_pruned,shallow_tree_distillation,current,,,,,,,,,,,
,FT,3.0,3.0,Young Earth residual leaf retained only when surname support is present.,young_earth_surname_leaf_c_pruned,shallow_tree_distillation,current,,,,,,,,,,,
,FT,9.0,9.0,"Clean group-supported leaf with non-F deck, moderate anchor probability, and controlled LGB/ET range.",wave5_l67_clean_group_recall,family_model_disagreement_recall,current,,,,,,,,,,,
,FT,5.0,5.0,Low-anchor residual leaf with missing-age Earth/E/P uncertainty pruned.,wave5_l47_pruned_low_anchor_recall,shallow_tree_distillation,current,,,,,,,,,,,
,FT,4.0,4.0,Non-TRAPPIST route leaf with a PSO/G/P child-family exception pruned.,wave5_l78_pruned_route_recall,route_family_recall,current,,,,,,,,,,,
missing_planet_cryo_e_recall,FT,1.0,1.0,Missing-homeplanet cryo-zero E/S/TRAPPIST row recovered by physical consistency and HGB support.,,,reference,,,,,,,,,,,
earth_fp_route_recall,FT,5.0,5.0,Earth/F/P/TRAPPIST mid-spend route recall: anchor was too conservative on HGB-supported border rows.,,,reference,,,,,,,,,,,
earth_fs_side_spender_recall,FT,4.0,4.0,Earth/F/S/TRAPPIST side-S spender recall with moderate spend and positive HGB pressure.,,,reference,,,,,,,,,,,
earth_gp_route_recall,FT,6.0,6.0,"Earth/G/P route recall for child/zero-spend, PSO, and mid-spend HGB/LGB-supported boundary rows.",,,reference,,,,,,,,,,,
earth_gs_awake_route_recall,FT,11.0,11.0,"Earth/G/S route recall: children, older boundary passengers, PSO edge cases, and high-spend LGB-supported rows.",,,reference,,,,,,,,,,,
earth_cryo_gs_zero_recall,FT,4.0,4.0,"CryoSleep=True with zero spend on Earth/G/S/TRAPPIST, only when HGB and vote support are strong.",,,reference,,,,,,,,,,,
mars_fs_side_spender_recall,FT,2.0,2.0,Tiny Mars/F/S/TRAPPIST side-S spender leaf where the heterogeneous model signal supports recall.,,,reference,,,,,,,,,,,
earth_gs_low_hgb_trappist_veto,TF,9.0,9.0,Anchor=True Earth/G/S/TRAPPIST awake spenders where HGB and LGB both form a hard-negative residual leaf.,,,reference,,,,,,,,,,,
earth_gs_cancri_low_hgb_veto,TF,1.0,1.0,The same Earth/G/S low-HGB veto on the adjacent 55 Cancri route.,,,reference,,,,,,,,,,,
earth_fs_low_hgb_veto,TF,2.0,2.0,Anchor=True Earth/F/S low-spend rows where HGB collapses despite the anchor saying True.,,,reference,,,,,,,,,,,
earth_efp_mid_spend_veto,TF,7.0,7.0,Earth E/F P-side mid-spend residual veto: route/deck structure is weak and ensemble support is only borderline.,,,reference,,,,,,,,,,,
earth_gp_route_conflict_veto,TF,3.0,3.0,Earth/G/P route-conflict veto for awake spenders with suspicious route-side behavior.,,,reference,,,,,,,,,,,
earth_cryo_gp_zero_boundary_veto,TF,3.0,3.0,"Cryo-zero is usually positive, but this P-side boundary has weak LGB/HGB and split model evidence.",,,reference,,,,,,,,,,,
europa_high_spend_veto,TF,6.0,6.0,Europa awake high-spend rows where high expenditure and route/deck split contradict a confident transported label.,,,reference,,,,,,,,,,,
mars_spender_veto,TF,4.0,4.0,Mars awake spender residual veto in E/F deck routes where Cat disagrees with the HGB/LGB correction signal.,,,reference,,,,,,,,,,,
__TOTAL__,MIXED,68.0,68.0,F_to_T=33; T_to_F=35; true_rate=0.547580,,,reference,,,,,,,,,,,
,FT,22.0,22.0,"Mars cryo-zero E-deck TRAPPIST rows are recovered, excluding one weak P-side adult family tail.",mars_e_cryo_zero_pruned,structural_zero_spend_recall,reference,,,,,,,,,,,
,FT,20.0,20.0,"Earth/G/TRAPPIST cryo-zero rows are recovered only within side, age, and family-consensus subleaves.",earth_g_cryo_zero_strict,structural_zero_spend_recall,reference,,,,,,,,,,,
,FT,2.0,2.0,E-deck rows with HGB support and no anchor group support are treated as conservative false negatives.,deck_e_hgb_group0,heterogeneous_model_recall,reference,,,,,,,,,,,
,FT,1.0,1.0,A small E/S leaf is recovered when LGB crosses the local residual threshold.,deck_e_side_s_lgb40,heterogeneous_model_recall,reference,,,,,,,,,,,
,FT,4.0,4.0,Earth/G/S awake TRAPPIST spenders are recovered when HGB supports the positive class but Cat stays cautious.,earth_gs_spender_model,spender_boundary_recall,reference,,,,,,,,,,,
,FT,34.0,34.0,"Depth-limited residual tree leaves based on cabin topology, spend, family support, and model disagreement.",distilled_primary_residual_leaves,shallow_tree_distillation,reference,,,,,,,,,,,
cryo_gs_young_weak_family,,2.0,2.0,"Earth/G/S cryo-zero boundary with young age, no group support, weak surname support, and split model evidence.",,,reference,,,,,,,,,,,
awake_gs_child_family_boundary,,1.0,1.0,Earth/G/S awake child zero-spend boundary where HGB/LGB are only borderline and Cat is negative.,,,reference,,,,,,,,,,,
cryo_gs_adult_hgb_override,,2.0,2.0,Single adult Earth/G/S cryo-zero leaf where HGB is high but Cat stays negative and LGB is only weakly positive.,,,reference,,,,,,,,,,,
gp_midspend_weak_family,,1.0,1.0,Earth/G/P awake mid-spend row with no group or surname support despite positive-looking tree probabilities.,,,reference,,,,,,,,,,,
cryo_gp_large_surname_child,,1.0,1.0,"Earth/G/P cryo-zero child inside a large surname family, restricted to the weak-HGB boundary band.",,,reference,,,,,,,,,,,
awake_gp_pso_large_group_zero,,1.0,1.0,Earth/G/P PSO zero-spend child in a large group; a narrow veto for route-family conflict.,,,reference,,,,,,,,,,,
__TOTAL__,,8.0,8.0,ultra_strict_T_to_F=8; true_rate=0.565116,,,reference,,,,,,,,,,,
,TF,41.0,41.0,"Awake spender rows are vetoed when HGB is weak, ET is high, and the positive signal is not robust.",weak_awake_spender_veto,spender_boundary_veto,reference,,,,,,,,,,,
,FT,6.0,6.0,Residual E-deck spenders with low HGB but useful XGB/candidate/surname structure are recovered.,deck_e_low_hgb_spender_recall,spender_boundary_recall,reference,,,,,,,,,,,
,FT,15.0,15.0,Side-S group-supported rows with weak anchor probability but meaningful LGB/XGB disagreement are recovered.,side_s_group_disagreement_recall,family_model_disagreement_recall,reference,,,,,,,,,,,
,FT,8.0,8.0,Small-group spender rows with surname support and enough cabin/spend structure are recovered.,singleton_surname_spender_recall,family_model_disagreement_recall,reference,,,,,,,,,,,
,FT,8.0,8.0,"Rows with moderate LGB/ET, controlled HGB, and limited spend channels are recovered as boundary positives.",mid_lgb_et_boundary_recall,heterogeneous_model_recall,reference,,,,,,,,,,,
,FT,7.0,7.0,"Low-anchor, mid-spend residual leaf with one Mars/F/P tail pruned by route topology.",low_anchor_spend_leaf_a_pruned,shallow_tree_distillation,reference,,,,,,,,,,,
,FT,4.0,4.0,Low-XGB spender residual leaf with Mars/E/P tail removed as an outlier route pocket.,low_xgb_spender_leaf_b_pruned,shallow_tree_distillation,reference,,,,,,,,,,,
,FT,2.0,2.0,Young Earth residual leaf retained only when surname support is present.,young_earth_surname_leaf_c_pruned,shallow_tree_distillation,reference,,,,,,,,,,,
,FT,8.0,8.0,"Clean group-supported leaf with non-F deck, moderate anchor probability, and controlled LGB/ET range.",wave5_l67_clean_group_recall,family_model_disagreement_recall,reference,,,,,,,,,,,
,FT,5.0,5.0,Low-anchor residual leaf with missing-age Earth/E/P uncertainty pruned.,wave5_l47_pruned_low_anchor_recall,shallow_tree_distillation,reference,,,,,,,,,,,
,FT,5.0,5.0,Non-TRAPPIST route leaf with a PSO/G/P child-family exception pruned.,wave5_l78_pruned_route_recall,route_family_recall,reference,,,,,,,,,,,
,,,,,,,,reference_calibrated_boundary_gate,19.0,236.0,168.0,68.0,0.5480476969838672,0.5707271451952303,0.5714285714285714,0.5714285714285714,,
oof_supported_rescue_01,FT,5.0,5.0,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,,,oof_supported_rescue,,,,,,,,,,"{'HomePlanet': 'Earth', 'Deck': 'G', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'AgeBin': '0-5', 'SurnameRateBin': '.5-.75'}"
oof_supported_rescue_02,FT,1.0,1.0,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,,,oof_supported_rescue,,,,,,,,,,"{'HomePlanet': 'Earth', 'Deck': 'G', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'HgbBand': '.45-.50', 'StdBand': '.02-.04', 'SpendTypesBin': '0'}"
oof_supported_rescue_03,FT,2.0,2.0,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,,,oof_supported_rescue,,,,,,,,,,"{'HomePlanet': 'Earth', 'Deck': 'G', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'HgbBand': '.50-.55', 'CatBand': '.50-.55'}"
oof_supported_rescue_04,FT,1.0,1.0,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,,,oof_supported_rescue,,,,,,,,,,"{'HomePlanet': 'Earth', 'Deck': 'G', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'EtBand': '.35-.45', 'StdBand': '.02-.04', 'SurnameRateBin': '0'}"
oof_supported_rescue_05,FT,2.0,2.0,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,,,oof_supported_rescue,,,,,,,,,,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'F', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'AgeBin': '18-25', 'SpendBin': '700-999', 'EtBand': '.45-.50'}"
oof_supported_rescue_06,TF,2.0,2.0,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,,,oof_supported_rescue,,,,,,,,,,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'F', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'HgbBand': '.55-.62', 'XgbBand': '.62-.72', 'GroupRateBin': '1'}"
oof_supported_rescue_07,FT,2.0,2.0,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,,,oof_supported_rescue,,,,,,,,,,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'F', 'Side': 'S', 'Destination': 'TRAPPIST-1e'}","{'EtBand': '.15-.25', 'SurnameSizeBin': '2', 'CabinRegion': '101-300'}"
oof_supported_rescue_08,FT,1.0,1.0,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,,,oof_supported_rescue,,,,,,,,,,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'F', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'HgbBand': '.45-.50', 'EtBand': '.45-.50', 'StdBand': '.02-.04'}"
oof_supported_rescue_09,FT,1.0,1.0,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,,,oof_supported_rescue,,,,,,,,,,"{'HomePlanet': 'Earth', 'Deck': 'G', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'AnchorBand': '.36-.43', 'GroupSizeBin': '6-10', 'SurnameSizeBin': '3-4'}"
oof_supported_rescue_10,TF,1.0,1.0,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,,,oof_supported_rescue,,,,,,,,,,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'F', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'HgbBand': '.55-.62', 'CatBand': '.62-.72', 'RangeBand': '.10-.16'}"
oof_supported_rescue_11,TF,2.0,2.0,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,,,oof_supported_rescue,,,,,,,,,,"{'HomePlanet': 'Europa', 'Deck': 'C', 'Side': 'P'}","{'XgbBand': '.45-.50', 'CabinRegion': '101-300'}"
oof_supported_rescue_12,FT,2.0,2.0,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,,,oof_supported_rescue,,,,,,,,,,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'F', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'AgeBin': '18-25', 'StdBand': '<=.02', 'SpendTypesBin': '5'}"
oof_supported_rescue_13,TF,2.0,2.0,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,,,oof_supported_rescue,,,,,,,,,,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'G', 'Side': 'S', 'Destination': '55 Cancri e'}","{'SurnameSizeBin': '5-8', 'VotesBin': '3'}"
oof_supported_rescue_14,FT,1.0,1.0,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,,,oof_supported_rescue,,,,,,,,,,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'G', 'Side': 'S', 'Destination': 'TRAPPIST-1e'}","{'SpendBin': '1000-1499', 'CabinRegion': '701-1100', 'CabinMicro': '801-1100'}"
oof_supported_rescue_15,TF,1.0,1.0,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,,,oof_supported_rescue,,,,,,,,,,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'F', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'AnchorBand': '.28-.36', 'GroupSizeBin': '1', 'VotesBin': '0'}"
oof_supported_rescue_16,FT,1.0,1.0,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,,,oof_supported_rescue,,,,,,,,,,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'F', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'AnchorBand': '.57-.64', 'LgbBand': '.55-.62', 'SpendTypesBin': '3'}"
oof_supported_rescue_17,FT,1.0,1.0,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,,,oof_supported_rescue,,,,,,,,,,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'G', 'Side': 'S', 'Destination': 'TRAPPIST-1e'}","{'AgeBin': '6-12', 'CatBand': '.35-.45', 'GroupSizeBin': '3'}"
oof_supported_rescue_18,FT,1.0,1.0,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,,,oof_supported_rescue,,,,,,,,,,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'F', 'Side': 'S', 'Destination': 'TRAPPIST-1e'}","{'AnchorBand': '.36-.43', 'LgbBand': '.35-.45', 'SpendTypesBin': '3'}"
oof_supported_rescue_19,TF,1.0,1.0,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,,,oof_supported_rescue,,,,,,,,,,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'G', 'Side': 'S', 'Destination': 'TRAPPIST-1e'}","{'SpendBin': '700-999', 'LgbBand': '.35-.45', 'SurnameSizeBin': '5-8'}"
oof_supported_rescue_20,TF,1.0,1.0,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,,,oof_supported_rescue,,,,,,,,,,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'F', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'AnchorBand': '.50-.57', 'GroupSizeBin': '2'}"
oof_supported_rescue_21,TF,1.0,1.0,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,,,oof_supported_rescue,,,,,,,,,,"{'HomePlanet': 'Earth', 'Deck': 'G', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'HgbBand': '.35-.45', 'XgbBand': '.45-.50', 'GroupRateBin': '1'}"
oof_supported_rescue_22,TF,1.0,1.0,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,,,oof_supported_rescue,,,,,,,,,,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'F', 'Side': 'S', 'Destination': 'TRAPPIST-1e'}","{'RangeBand': '.16-.24', 'GroupRateBin': '0', 'SpendTypesBin': '3'}"
oof_supported_rescue_23,TF,1.0,1.0,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,,,oof_supported_rescue,,,,,,,,,,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'F', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'AgeBin': '18-25', 'GroupSizeBin': '1', 'VotesBin': '3'}"
oof_supported_rescue_24,FT,1.0,1.0,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,,,oof_supported_rescue,,,,,,,,,,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'G', 'Side': 'S', 'Destination': 'TRAPPIST-1e'}","{'XgbBand': '.35-.45', 'SpendTypesBin': '2', 'CabinRegion': '701-1100'}"
oof_supported_rescue_25,FT,1.0,1.0,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,,,oof_supported_rescue,,,,,,,,,,"{'HomePlanet': 'Mars', 'Deck': 'E', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'AnchorBand': '.18-.28', 'GroupRateBin': '0', 'SurnameRateBin': '.5-.75'}"
oof_supported_rescue_26,FT,1.0,1.0,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,,,oof_supported_rescue,,,,,,,,,,"{'HomePlanet': 'Europa', 'Deck': 'C', 'Side': 'S', 'Destination': 'TRAPPIST-1e'}","{'SpendBin': '1500-2999', 'EtBand': '.25-.35'}"
oof_supported_rescue_27,FT,1.0,1.0,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,,,oof_supported_rescue,,,,,,,,,,"{'HomePlanet': 'Mars', 'Deck': 'D', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'AgeBin': '18-25', 'RangeBand': '.05-.10', 'SurnameSizeBin': '5-8'}"
oof_supported_rescue_28,FT,1.0,1.0,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,,,oof_supported_rescue,,,,,,,,,,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'F', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'HgbBand': '.15-.25', 'LgbBand': '.15-.25', 'SurnameSizeBin': '1'}"
oof_supported_rescue_29,TF,1.0,1.0,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,,,oof_supported_rescue,,,,,,,,,,"{'HomePlanet': 'Earth', 'Deck': 'G', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'CatBand': '.50-.55', 'EtBand': '.55-.65', 'SpendTypesBin': '0'}"
oof_supported_rescue_30,TF,1.0,1.0,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,,,oof_supported_rescue,,,,,,,,,,"{'HomePlanet': 'Earth', 'Deck': 'G', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'AnchorBand': '.50-.57', 'RangeBand': '.10-.16', 'SurnameSizeBin': '5-8'}"
oof_supported_rescue_31,FT,1.0,1.0,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,,,oof_supported_rescue,,,,,,,,,,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'F', 'Side': 'S', 'Destination': 'TRAPPIST-1e'}","{'AgeBin': '18-25', 'SpendBin': '700-999', 'CabinMicro': '>1700'}"
oof_supported_rescue_32,TF,1.0,1.0,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,,,oof_supported_rescue,,,,,,,,,,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'F', 'Side': 'S', 'Destination': 'TRAPPIST-1e'}","{'LgbBand': '.55-.62', 'CabinRegion': '701-1100', 'CabinMicro': '801-1100'}"
